time,value
2000,6
2000,6.3
2000.33,6.515
2000.67,6.73575
2001,6.96395
2001.33,7.19989
2001.67,7.44382
2002,7.69601
2002.33,7.95675
2002.67,8.22632
2003,8.50502
2003.33,8.79317
2003.67,9.09108
2004,9.39908
2004.33,9.71751
2004.67,10.0467
2005,10.3871
2005.33,10.739
2005.67,11.1029
2006,11.479
2006.33,11.8679
2006.67,12.27
2007,12.6857
2007.33,13.1155
2007.67,13.5598
2008,14.0192
2008.33,14.4942
2008.67,14.9853
2009,15.4929
2009.33,16.0178
2009.67,16.5605
2010,17.1216
2010.33,17.7016
2010.67,18.3014
2011,18.9214
2011.33,19.5625
2011.67,20.2252
2012,20.9104
2012.33,21.6189
2012.67,22.3513
2013,23.1086
2013.33,23.8915
2013.67,24.7009
2014,25.5378
2014.33,26.403
2014.67,27.2975
2015,28.2223
2015.33,29.1785
2015.67,30.167
2016,31.1891
2016.33,32.2457
2016.67,33.3382
2017,34.4677
2017.33,35.6354
2017.67,36.8427
2018,38.091
2018.33,39.3815
2018.67,40.7157
2019,42.0951
2019.33,43.5213
2019.67,44.9957
